AdmissionID,CourseAppliedDate,CourseEnrollmentDate,AdmissionFee,CourseId,StudentId,CreatedDate,UpdateDate
273,2022-04-04 13:50:54,2022-05-04 10:46:00,134582,685,3829,2022-09-19 15:14:31.441550,2022-09-19 15:14:31.590634
122,2022-04-03 04:21:17,2022-06-13 00:45:08,240187,626,1383,2022-09-19 15:14:31.409219,2022-09-19 15:14:31.759791
76,2022-05-27 13:42:30,2022-06-16 05:42:23,296278,899,1872,2022-09-19 15:14:31.965920,2022-09-19 15:14:31.549803
66,2022-06-04 11:07:37,2022-07-09 11:49:56,96040,782,1738,2022-09-19 15:14:31.542224,2022-09-19 15:14:31.977189
153,2022-04-02 20:45:16,2022-06-02 02:05:45,92952,899,4739,2022-09-19 15:14:31.032713,2022-09-19 15:14:31.168735
170,2022-06-07 00:17:52,2022-05-08 16:24:45,123814,804,4035,2022-09-19 15:14:31.921862,2022-09-19 15:14:31.884600
233,2022-05-23 14:33:49,2022-04-30 22:55:53,256955,685,1432,2022-09-19 15:14:31.726890,2022-09-19 15:14:31.691090
81,2022-06-08 19:59:54,2022-07-06 05:14:56,149718,899,4198,2022-09-19 15:14:31.008651,2022-09-19 15:14:31.378260
98,2022-04-21 05:34:57,2022-05-22 04:04:21,211965,899,4501,2022-09-19 15:14:31.469650,2022-09-19 15:14:31.323570
50,2022-05-21 05:38:57,2022-05-04 02:19:13,280829,782,3686,2022-09-19 15:14:31.554296,2022-09-19 15:14:31.476715
219,2022-05-02 08:31:42,2022-06-04 09:56:25,131329,804,3033,2022-09-19 15:14:31.003979,2022-09-19 15:14:31.347032
251,2022-04-27 07:50:22,2022-06-18 01:32:30,85967,626,4044,2022-09-19 15:14:31.493285,2022-09-19 15:14:31.737537
92,2022-04-17 16:57:04,2022-06-22 10:55:14,228499,626,4241,2022-09-19 15:14:31.667566,2022-09-19 15:14:31.685328
47,2022-05-06 19:38:59,2022-07-03 09:57:54,188198,626,1428,2022-09-19 15:14:31.101816,2022-09-19 15:14:31.775508
255,2022-04-23 12:43:33,2022-07-09 03:26:10,296061,685,2937,2022-09-19 15:14:31.715117,2022-09-19 15:14:31.027178
35,2022-05-26 08:29:51,2022-05-01 03:02:02,98175,787,1861,2022-09-19 15:14:31.869563,2022-09-19 15:14:31.759618
169,2022-06-09 00:10:58,2022-06-22 22:23:22,207822,804,1925,2022-09-19 15:14:31.024598,2022-09-19 15:14:31.901834
223,2022-05-12 07:56:50,2022-06-04 08:44:32,213151,568,4149,2022-09-19 15:14:31.104345,2022-09-19 15:14:31.682750
218,2022-04-30 09:52:45,2022-06-04 23:12:36,115235,787,4018,2022-09-19 15:14:31.482153,2022-09-19 15:14:31.603732
77,2022-05-27 09:37:29,2022-05-08 19:03:01,148365,787,1663,2022-09-19 15:14:31.207287,2022-09-19 15:14:31.720973
100,2022-03-11 16:35:13,2022-05-12 09:27:41,127118,899,2667,2022-09-19 15:14:31.664236,2022-09-19 15:14:31.549538
260,2022-03-19 20:02:59,2022-06-30 04:03:10,234187,567,2289,2022-09-19 15:14:31.820255,2022-09-19 15:14:31.979862
132,2022-06-12 09:14:18,2022-07-08 01:24:19,118846,626,1649,2022-09-19 15:14:31.937909,2022-09-19 15:14:31.640084
29,2022-04-16 01:21:22,2022-06-22 14:07:45,136077,755,2289,2022-09-19 15:14:31.974393,2022-09-19 15:14:31.445256
92,2022-04-25 05:21:00,2022-06-16 20:39:54,209615,568,1690,2022-09-19 15:14:31.785696,2022-09-19 15:14:31.477266
40,2022-04-24 05:37:32,2022-07-02 23:46:40,252999,685,4576,2022-09-19 15:14:31.339243,2022-09-19 15:14:31.267207
126,2022-03-22 17:56:19,2022-06-28 11:40:28,240779,626,3001,2022-09-19 15:14:31.839708,2022-09-19 15:14:31.124435
41,2022-03-13 07:05:06,2022-06-22 15:11:06,165279,568,4673,2022-09-19 15:14:31.226170,2022-09-19 15:14:31.251598
260,2022-04-26 00:03:55,2022-06-14 20:28:30,262887,899,2439,2022-09-19 15:14:31.001764,2022-09-19 15:14:31.973847
102,2022-05-10 05:05:10,2022-05-02 00:43:47,298797,567,3428,2022-09-19 15:14:31.719718,2022-09-19 15:14:31.749773
42,2022-06-04 09:55:23,2022-05-02 19:52:22,108879,755,1531,2022-09-19 15:14:31.741858,2022-09-19 15:14:31.707954
107,2022-05-18 20:55:43,2022-06-25 15:45:29,282169,597,3921,2022-09-19 15:14:31.601038,2022-09-19 15:14:31.261622
119,2022-06-10 03:59:43,2022-05-05 23:44:46,238058,804,2295,2022-09-19 15:14:31.228535,2022-09-19 15:14:31.333560
277,2022-04-07 08:44:03,2022-05-03 12:08:24,294086,787,4739,2022-09-19 15:14:31.729967,2022-09-19 15:14:31.119142
288,2022-05-31 17:29:08,2022-06-01 07:47:58,162731,685,3223,2022-09-19 15:14:31.806428,2022-09-19 15:14:31.849027
167,2022-05-09 02:28:46,2022-06-20 23:26:14,153925,755,4966,2022-09-19 15:14:31.058091,2022-09-19 15:14:31.926450
86,2022-06-03 22:01:46,2022-06-08 02:46:34,148677,755,1738,2022-09-19 15:14:31.261379,2022-09-19 15:14:31.697401
1,2022-05-01 11:44:45,2022-05-13 02:34:14,184186,567,3594,2022-09-19 15:14:31.355440,2022-09-19 15:14:31.247255
97,2022-04-03 02:28:24,2022-05-18 16:02:21,289867,787,1861,2022-09-19 15:14:31.753388,2022-09-19 15:14:31.620043
6,2022-05-03 15:31:17,2022-05-26 09:35:31,212666,685,2996,2022-09-19 15:14:31.228843,2022-09-19 15:14:31.820472
53,2022-05-31 02:07:12,2022-05-28 02:47:06,262509,899,4576,2022-09-19 15:14:31.639338,2022-09-19 15:14:31.046998
285,2022-03-29 07:00:37,2022-06-04 13:05:11,97130,782,4952,2022-09-19 15:14:31.612431,2022-09-19 15:14:31.783439
100,2022-04-01 10:30:34,2022-05-28 23:39:59,220802,626,4501,2022-09-19 15:14:31.678712,2022-09-19 15:14:31.860518
268,2022-03-17 04:56:40,2022-07-01 20:36:18,224991,685,3286,2022-09-19 15:14:31.397433,2022-09-19 15:14:31.263584
297,2022-05-09 00:17:01,2022-07-07 08:17:10,115172,568,1017,2022-09-19 15:14:31.491165,2022-09-19 15:14:31.876818
135,2022-05-24 18:10:37,2022-05-01 04:56:18,165592,899,1925,2022-09-19 15:14:31.921023,2022-09-19 15:14:31.703809
51,2022-04-11 13:46:01,2022-06-01 02:41:58,282447,804,4276,2022-09-19 15:14:31.821469,2022-09-19 15:14:31.429331
176,2022-03-30 22:18:06,2022-06-11 01:28:42,107045,626,4304,2022-09-19 15:14:31.877353,2022-09-19 15:14:31.216142
206,2022-05-27 16:16:09,2022-06-13 23:34:23,150831,899,1092,2022-09-19 15:14:31.790537,2022-09-19 15:14:31.050419
11,2022-06-09 08:23:45,2022-06-29 21:55:44,133361,782,1528,2022-09-19 15:14:31.236851,2022-09-19 15:14:31.814504
179,2022-06-10 07:06:17,2022-06-27 22:53:10,123177,626,3602,2022-09-19 15:14:31.977561,2022-09-19 15:14:31.424603
119,2022-04-09 07:13:00,2022-05-12 02:40:41,278908,755,1352,2022-09-19 15:14:31.657196,2022-09-19 15:14:31.544927
176,2022-03-28 08:23:45,2022-05-01 01:41:57,174464,597,3162,2022-09-19 15:14:31.879357,2022-09-19 15:14:31.099797
1,2022-04-18 07:03:55,2022-05-11 11:06:33,173273,597,4582,2022-09-19 15:14:31.976915,2022-09-19 15:14:31.099728
230,2022-04-03 16:21:30,2022-06-03 19:10:41,186408,804,4781,2022-09-19 15:14:31.389695,2022-09-19 15:14:31.924917
201,2022-06-07 09:09:16,2022-05-17 09:03:48,138964,782,3585,2022-09-19 15:14:31.185882,2022-09-19 15:14:31.414118
93,2022-05-28 03:36:46,2022-07-02 08:30:05,227851,782,4850,2022-09-19 15:14:31.701635,2022-09-19 15:14:31.881760
167,2022-05-15 15:03:55,2022-05-31 11:52:44,247013,597,4276,2022-09-19 15:14:31.387257,2022-09-19 15:14:31.103716
162,2022-03-20 15:28:37,2022-05-31 21:24:23,147989,626,1470,2022-09-19 15:14:31.062658,2022-09-19 15:14:31.996847
269,2022-03-29 20:21:38,2022-07-05 07:35:04,288991,782,3304,2022-09-19 15:14:31.130452,2022-09-19 15:14:31.938533
7,2022-04-23 16:26:39,2022-05-08 01:44:18,272183,804,4018,2022-09-19 15:14:31.026571,2022-09-19 15:14:31.291140
38,2022-05-01 22:13:16,2022-06-06 20:34:45,81165,597,1423,2022-09-19 15:14:31.848284,2022-09-19 15:14:31.783494
261,2022-03-17 03:43:09,2022-06-30 16:25:24,158101,899,1144,2022-09-19 15:14:31.180621,2022-09-19 15:14:31.580800
205,2022-04-13 21:32:25,2022-06-12 20:36:02,270567,755,1156,2022-09-19 15:14:31.013784,2022-09-19 15:14:31.812610
131,2022-06-02 04:29:52,2022-05-13 05:42:41,255801,782,2354,2022-09-19 15:14:31.578797,2022-09-19 15:14:31.138009
50,2022-04-28 18:18:30,2022-06-06 14:38:53,154560,899,1117,2022-09-19 15:14:31.444337,2022-09-19 15:14:31.994017
87,2022-04-27 07:44:40,2022-06-24 00:08:50,111997,685,2972,2022-09-19 15:14:31.417462,2022-09-19 15:14:31.025778
253,2022-03-17 02:12:55,2022-05-09 23:52:23,174015,804,2122,2022-09-19 15:14:31.998828,2022-09-19 15:14:31.342766
71,2022-04-11 04:47:11,2022-07-02 06:52:33,142504,685,2863,2022-09-19 15:14:31.565864,2022-09-19 15:14:31.570483
94,2022-04-07 01:30:19,2022-07-03 07:00:29,96453,685,3947,2022-09-19 15:14:31.954659,2022-09-19 15:14:31.002582
22,2022-04-06 14:33:06,2022-05-31 11:20:31,154656,597,4241,2022-09-19 15:14:31.806808,2022-09-19 15:14:31.799817
239,2022-05-30 09:19:34,2022-05-03 01:24:46,208761,626,1584,2022-09-19 15:14:31.302310,2022-09-19 15:14:31.077468
59,2022-03-21 23:24:05,2022-05-01 01:31:23,149636,787,1371,2022-09-19 15:14:31.508127,2022-09-19 15:14:31.300453
27,2022-03-22 12:49:12,2022-05-22 09:43:00,216155,804,3442,2022-09-19 15:14:31.842575,2022-09-19 15:14:31.831317
238,2022-05-22 04:24:06,2022-05-17 22:23:45,274087,787,3588,2022-09-19 15:14:31.300458,2022-09-19 15:14:31.028096
44,2022-03-18 11:33:41,2022-05-03 00:26:22,108454,626,1861,2022-09-19 15:14:31.944902,2022-09-19 15:14:31.177261
7,2022-03-16 13:21:38,2022-05-26 09:33:32,82697,804,2369,2022-09-19 15:14:31.067713,2022-09-19 15:14:31.754320
111,2022-06-13 19:29:32,2022-05-15 17:04:22,158675,597,3777,2022-09-19 15:14:31.189460,2022-09-19 15:14:31.302830
148,2022-03-24 06:25:45,2022-06-05 07:29:47,229033,567,2241,2022-09-19 15:14:31.508270,2022-09-19 15:14:31.932093
88,2022-05-19 01:47:55,2022-06-01 23:49:01,236585,804,1631,2022-09-19 15:14:31.415310,2022-09-19 15:14:31.708402
58,2022-06-13 16:12:12,2022-06-26 08:29:43,103667,597,3283,2022-09-19 15:14:31.112341,2022-09-19 15:14:31.681729
251,2022-05-02 15:10:05,2022-05-08 14:47:46,122672,782,1531,2022-09-19 15:14:31.922446,2022-09-19 15:14:31.021124
70,2022-05-08 00:37:54,2022-06-19 05:00:39,131975,567,4998,2022-09-19 15:14:31.551936,2022-09-19 15:14:31.926859
129,2022-04-22 03:54:11,2022-06-28 19:43:42,296736,804,3652,2022-09-19 15:14:31.354882,2022-09-19 15:14:31.687489
231,2022-05-16 20:04:26,2022-05-18 14:19:32,192321,568,3117,2022-09-19 15:14:31.450418,2022-09-19 15:14:31.534163
179,2022-03-26 04:27:14,2022-05-17 22:11:50,192521,804,3088,2022-09-19 15:14:31.325500,2022-09-19 15:14:31.063280
214,2022-05-21 03:06:04,2022-05-18 20:34:51,189122,782,1285,2022-09-19 15:14:31.409667,2022-09-19 15:14:31.926586
171,2022-04-09 20:57:47,2022-05-26 06:38:58,89947,567,3033,2022-09-19 15:14:31.409935,2022-09-19 15:14:31.701548
28,2022-05-08 11:50:28,2022-06-18 07:36:48,137295,899,1827,2022-09-19 15:14:31.978198,2022-09-19 15:14:31.813231
236,2022-04-23 08:55:43,2022-07-04 04:08:54,150444,787,3652,2022-09-19 15:14:31.918571,2022-09-19 15:14:31.656600
63,2022-03-25 03:09:31,2022-05-06 08:19:59,121140,782,3137,2022-09-19 15:14:31.019980,2022-09-19 15:14:31.880436
299,2022-04-22 20:06:20,2022-07-06 09:16:15,253087,626,3585,2022-09-19 15:14:31.697428,2022-09-19 15:14:31.380960
128,2022-04-12 00:34:58,2022-05-29 16:34:23,188372,597,2972,2022-09-19 15:14:31.710832,2022-09-19 15:14:31.342351
147,2022-05-17 14:00:45,2022-06-29 14:30:16,278265,787,1584,2022-09-19 15:14:31.988477,2022-09-19 15:14:31.720894
212,2022-05-17 20:19:43,2022-05-11 19:06:05,195030,782,2990,2022-09-19 15:14:31.988835,2022-09-19 15:14:31.555478
92,2022-05-14 02:37:34,2022-06-02 11:40:54,224524,597,4501,2022-09-19 15:14:31.650486,2022-09-19 15:14:31.827323
170,2022-05-06 11:44:31,2022-05-16 00:54:04,178500,804,1717,2022-09-19 15:14:31.086561,2022-09-19 15:14:31.948786
143,2022-04-18 22:07:40,2022-06-14 16:59:14,92262,597,3777,2022-09-19 15:14:31.195557,2022-09-19 15:14:31.009153
281,2022-05-23 21:28:33,2022-07-08 10:49:50,160678,899,2740,2022-09-19 15:14:31.699273,2022-09-19 15:14:31.615454
236,2022-03-14 21:11:51,2022-05-03 23:14:07,272864,567,2885,2022-09-19 15:14:31.919892,2022-09-19 15:14:31.587958
214,2022-03-15 23:34:13,2022-05-25 02:02:19,259084,597,4889,2022-09-19 15:14:31.260568,2022-09-19 15:14:31.171131
102,2022-06-01 04:43:58,2022-06-20 04:10:06,116589,597,1383,2022-09-19 15:14:31.156173,2022-09-19 15:14:31.549746
16,2022-05-26 09:22:35,2022-06-28 14:40:19,160167,899,3699,2022-09-19 15:14:31.952873,2022-09-19 15:14:31.774173
175,2022-04-29 08:40:18,2022-05-10 06:32:29,203204,568,4276,2022-09-19 15:14:31.201336,2022-09-19 15:14:31.318576
286,2022-06-09 19:24:59,2022-05-25 23:43:26,151663,567,2151,2022-09-19 15:14:31.012180,2022-09-19 15:14:31.016080
182,2022-05-08 16:07:33,2022-07-07 04:56:22,222101,782,1456,2022-09-19 15:14:31.613630,2022-09-19 15:14:31.822858
95,2022-04-12 13:14:05,2022-07-06 08:11:38,203998,626,3304,2022-09-19 15:14:31.703896,2022-09-19 15:14:31.528623
260,2022-06-14 12:17:03,2022-06-08 15:00:01,241387,567,4018,2022-09-19 15:14:31.424052,2022-09-19 15:14:31.400389
169,2022-05-09 03:56:09,2022-06-19 03:02:18,96529,626,4140,2022-09-19 15:14:31.157171,2022-09-19 15:14:31.830949
22,2022-04-10 00:35:36,2022-05-19 03:53:04,296478,782,1649,2022-09-19 15:14:31.935585,2022-09-19 15:14:31.704100
146,2022-05-19 14:59:48,2022-05-20 22:33:58,258715,597,3921,2022-09-19 15:14:31.935441,2022-09-19 15:14:31.582726
274,2022-03-17 22:15:00,2022-06-03 07:26:53,152301,899,1815,2022-09-19 15:14:31.893443,2022-09-19 15:14:31.571294
196,2022-04-06 14:27:04,2022-06-30 04:20:10,147455,685,2331,2022-09-19 15:14:31.747742,2022-09-19 15:14:31.965369
278,2022-05-08 17:34:55,2022-05-14 21:50:00,97329,567,4952,2022-09-19 15:14:31.459333,2022-09-19 15:14:31.050114
184,2022-03-29 18:56:17,2022-07-09 08:13:14,104116,568,2972,2022-09-19 15:14:31.727629,2022-09-19 15:14:31.270206
9,2022-05-10 17:32:47,2022-05-23 09:12:13,106281,755,1771,2022-09-19 15:14:31.071272,2022-09-19 15:14:31.431961
141,2022-05-09 07:41:28,2022-05-29 15:42:51,263240,782,4276,2022-09-19 15:14:31.141043,2022-09-19 15:14:31.929846
122,2022-06-05 19:58:22,2022-05-25 02:44:17,82957,899,4408,2022-09-19 15:14:31.481170,2022-09-19 15:14:31.254348
147,2022-04-14 04:31:38,2022-05-23 12:31:32,165478,787,2577,2022-09-19 15:14:31.465878,2022-09-19 15:14:31.564258
206,2022-04-16 10:59:26,2022-05-22 12:43:16,86331,782,4730,2022-09-19 15:14:31.731025,2022-09-19 15:14:31.680676
185,2022-05-13 16:50:10,2022-06-19 22:29:14,257555,755,4470,2022-09-19 15:14:31.324655,2022-09-19 15:14:31.593757
262,2022-05-27 10:31:54,2022-06-01 21:14:13,237875,568,4408,2022-09-19 15:14:31.160141,2022-09-19 15:14:31.941566
288,2022-03-18 16:47:59,2022-05-13 10:16:16,113177,626,3304,2022-09-19 15:14:31.326254,2022-09-19 15:14:31.141569
75,2022-06-10 01:46:47,2022-06-14 23:45:49,261057,804,2369,2022-09-19 15:14:31.151309,2022-09-19 15:14:31.288637
192,2022-05-06 21:34:38,2022-06-15 13:14:54,130991,899,2473,2022-09-19 15:14:31.650731,2022-09-19 15:14:31.808439
84,2022-03-29 14:51:46,2022-05-05 10:14:26,93468,899,2122,2022-09-19 15:14:31.351408,2022-09-19 15:14:31.517517
219,2022-04-20 23:44:16,2022-06-16 21:55:42,263817,626,4427,2022-09-19 15:14:31.884295,2022-09-19 15:14:31.366617
2,2022-04-14 15:15:35,2022-06-04 03:34:00,148731,899,3381,2022-09-19 15:14:31.246737,2022-09-19 15:14:31.898129
135,2022-05-26 23:27:13,2022-06-15 00:50:07,249343,782,4780,2022-09-19 15:14:31.756298,2022-09-19 15:14:31.709724
181,2022-03-13 18:04:12,2022-06-09 07:08:35,109882,597,3117,2022-09-19 15:14:31.685305,2022-09-19 15:14:31.512932
158,2022-05-10 23:08:03,2022-06-07 02:49:44,210467,568,2354,2022-09-19 15:14:31.982146,2022-09-19 15:14:31.242734
299,2022-05-05 06:45:08,2022-06-15 23:36:55,293509,782,3299,2022-09-19 15:14:31.034772,2022-09-19 15:14:31.541526
154,2022-06-06 13:32:55,2022-06-04 08:51:23,202943,626,1663,2022-09-19 15:14:31.270260,2022-09-19 15:14:31.198412
278,2022-06-09 15:51:20,2022-05-09 18:14:04,200893,755,2885,2022-09-19 15:14:31.006570,2022-09-19 15:14:31.079603
211,2022-04-26 15:53:51,2022-06-22 10:28:02,143038,567,1987,2022-09-19 15:14:31.597804,2022-09-19 15:14:31.882652
101,2022-04-14 18:35:08,2022-06-08 03:12:13,259192,782,1815,2022-09-19 15:14:31.370854,2022-09-19 15:14:31.894549
34,2022-04-09 09:29:51,2022-05-14 16:36:22,108943,626,3946,2022-09-19 15:14:31.803805,2022-09-19 15:14:31.168938
148,2022-05-13 06:53:08,2022-06-04 08:39:03,238930,568,3829,2022-09-19 15:14:31.611296,2022-09-19 15:14:31.043774
93,2022-03-31 16:08:24,2022-06-23 13:45:44,215891,567,3428,2022-09-19 15:14:31.379101,2022-09-19 15:14:31.515265
104,2022-06-01 09:40:51,2022-07-03 15:43:33,282360,567,1428,2022-09-19 15:14:31.372581,2022-09-19 15:14:31.480646
30,2022-05-27 06:08:07,2022-05-07 21:51:57,172999,626,2134,2022-09-19 15:14:31.343595,2022-09-19 15:14:31.225309
35,2022-05-13 16:39:02,2022-05-12 02:11:47,188588,899,2971,2022-09-19 15:14:31.420148,2022-09-19 15:14:31.751581
136,2022-04-19 13:23:48,2022-06-23 18:27:01,166503,899,1017,2022-09-19 15:14:31.999352,2022-09-19 15:14:31.320343
189,2022-05-23 13:10:37,2022-05-24 21:38:07,122826,685,4604,2022-09-19 15:14:31.903505,2022-09-19 15:14:31.276820
230,2022-04-09 18:54:21,2022-07-04 18:33:47,287966,755,4284,2022-09-19 15:14:31.188075,2022-09-19 15:14:31.451690
253,2022-04-09 16:25:54,2022-06-19 18:36:05,260873,782,3442,2022-09-19 15:14:31.773949,2022-09-19 15:14:31.050757
83,2022-05-26 04:00:00,2022-05-06 19:05:46,280517,626,1925,2022-09-19 15:14:31.858921,2022-09-19 15:14:31.680163
225,2022-04-23 12:06:13,2022-05-03 04:41:10,221379,787,1352,2022-09-19 15:14:31.081816,2022-09-19 15:14:31.116138
159,2022-03-23 09:17:05,2022-05-15 00:37:10,211983,685,4089,2022-09-19 15:14:31.129049,2022-09-19 15:14:31.553834
23,2022-05-21 17:53:17,2022-05-21 09:47:55,88202,685,4780,2022-09-19 15:14:31.567061,2022-09-19 15:14:31.083785
219,2022-05-27 01:25:05,2022-05-21 15:05:16,197822,755,4106,2022-09-19 15:14:31.342232,2022-09-19 15:14:31.470290
129,2022-05-27 00:12:38,2022-06-08 08:07:12,237364,899,1362,2022-09-19 15:14:31.803410,2022-09-19 15:14:31.594318
203,2022-05-30 20:01:50,2022-06-21 11:39:47,296830,899,2982,2022-09-19 15:14:31.946373,2022-09-19 15:14:31.727925
151,2022-05-10 17:21:19,2022-06-21 09:23:56,239032,755,4637,2022-09-19 15:14:31.840550,2022-09-19 15:14:31.305010
134,2022-04-18 00:28:37,2022-06-08 16:43:32,281302,626,1987,2022-09-19 15:14:31.706155,2022-09-19 15:14:31.241486
180,2022-05-30 16:06:14,2022-06-26 14:15:14,231259,782,2913,2022-09-19 15:14:31.194971,2022-09-19 15:14:31.944478
209,2022-04-03 10:11:35,2022-06-25 11:47:01,192359,899,3034,2022-09-19 15:14:31.210001,2022-09-19 15:14:31.225081
142,2022-04-16 07:42:11,2022-06-14 11:48:00,128070,899,2134,2022-09-19 15:14:31.169746,2022-09-19 15:14:31.273882
143,2022-05-02 18:36:40,2022-05-28 23:05:51,264915,568,2740,2022-09-19 15:14:31.911153,2022-09-19 15:14:31.976797
38,2022-04-19 09:32:43,2022-06-17 01:44:27,234789,626,4733,2022-09-19 15:14:31.976338,2022-09-19 15:14:31.845365
54,2022-03-16 04:34:18,2022-05-20 21:54:06,186170,755,4271,2022-09-19 15:14:31.508173,2022-09-19 15:14:31.380149
137,2022-04-21 11:14:07,2022-05-30 18:52:34,184348,568,2556,2022-09-19 15:14:31.798297,2022-09-19 15:14:31.414987
18,2022-05-17 17:05:49,2022-05-25 21:46:21,244831,567,4952,2022-09-19 15:14:31.727930,2022-09-19 15:14:31.317956
159,2022-06-01 13:13:28,2022-06-20 05:16:24,172972,567,3304,2022-09-19 15:14:31.401597,2022-09-19 15:14:31.519755
283,2022-03-18 08:48:20,2022-06-06 01:14:35,170897,804,2004,2022-09-19 15:14:31.253050,2022-09-19 15:14:31.318202
123,2022-05-21 04:43:29,2022-06-26 01:59:12,218800,568,4198,2022-09-19 15:14:31.318465,2022-09-19 15:14:31.138982
150,2022-05-22 01:03:25,2022-05-23 02:48:42,280482,597,4870,2022-09-19 15:14:31.664778,2022-09-19 15:14:31.992358
246,2022-06-01 06:53:47,2022-05-21 14:53:41,96836,782,1556,2022-09-19 15:14:31.585301,2022-09-19 15:14:31.070208
276,2022-04-14 01:35:10,2022-06-25 03:59:27,120776,597,3137,2022-09-19 15:14:31.291807,2022-09-19 15:14:31.355568
70,2022-04-14 19:59:52,2022-06-15 09:53:23,102806,597,4432,2022-09-19 15:14:31.000043,2022-09-19 15:14:31.874349
161,2022-03-18 14:44:55,2022-05-03 00:39:21,239644,568,3162,2022-09-19 15:14:31.982870,2022-09-19 15:14:31.417606
203,2022-04-13 04:55:40,2022-06-14 21:11:54,126227,782,4413,2022-09-19 15:14:31.730240,2022-09-19 15:14:31.762618
20,2022-05-03 01:15:48,2022-05-02 08:06:27,193891,755,3283,2022-09-19 15:14:31.451910,2022-09-19 15:14:31.021971
187,2022-06-09 18:23:09,2022-05-13 14:57:39,291561,626,2004,2022-09-19 15:14:31.441348,2022-09-19 15:14:31.175956
237,2022-05-26 10:59:30,2022-05-14 10:24:13,119352,626,2383,2022-09-19 15:14:31.687077,2022-09-19 15:14:31.951667
77,2022-03-18 02:52:40,2022-05-07 23:16:07,257434,626,4317,2022-09-19 15:14:31.038039,2022-09-19 15:14:31.789947
6,2022-05-18 06:45:34,2022-06-03 22:44:29,92044,568,4998,2022-09-19 15:14:31.305888,2022-09-19 15:14:31.714676
128,2022-04-02 15:03:31,2022-05-09 00:54:28,195404,782,1395,2022-09-19 15:14:31.482193,2022-09-19 15:14:31.242619
205,2022-06-02 14:16:36,2022-05-27 14:47:15,98451,685,2990,2022-09-19 15:14:31.230066,2022-09-19 15:14:31.607208
15,2022-04-21 07:26:35,2022-07-01 19:35:18,141392,755,4733,2022-09-19 15:14:31.532974,2022-09-19 15:14:31.276627
264,2022-05-01 07:32:21,2022-06-09 15:17:29,281415,899,4998,2022-09-19 15:14:31.396066,2022-09-19 15:14:31.705782
179,2022-05-31 00:47:56,2022-05-12 15:58:47,86964,782,1738,2022-09-19 15:14:31.238671,2022-09-19 15:14:31.126544
69,2022-05-29 06:43:45,2022-07-05 21:45:18,272358,782,3286,2022-09-19 15:14:31.340884,2022-09-19 15:14:31.637053
119,2022-03-29 07:10:18,2022-05-23 10:40:18,208642,755,3299,2022-09-19 15:14:31.550358,2022-09-19 15:14:31.587423
81,2022-03-31 20:22:05,2022-05-10 10:34:17,92604,597,1428,2022-09-19 15:14:31.503925,2022-09-19 15:14:31.574419
103,2022-06-03 06:54:06,2022-06-23 16:46:30,225046,626,4284,2022-09-19 15:14:31.938330,2022-09-19 15:14:31.899412
92,2022-04-10 08:07:09,2022-05-14 06:27:09,101717,787,3983,2022-09-19 15:14:31.604956,2022-09-19 15:14:31.849293
1,2022-04-01 18:55:27,2022-05-16 00:24:06,91863,597,2241,2022-09-19 15:14:31.454780,2022-09-19 15:14:31.651082
127,2022-03-16 15:50:38,2022-05-03 00:40:20,112374,804,3947,2022-09-19 15:14:31.170215,2022-09-19 15:14:31.451387
253,2022-04-10 19:31:43,2022-05-05 12:06:04,148606,899,4071,2022-09-19 15:14:31.457526,2022-09-19 15:14:31.050713
240,2022-03-18 01:24:36,2022-05-20 13:12:17,208125,899,4850,2022-09-19 15:14:31.738000,2022-09-19 15:14:31.952150
128,2022-03-31 01:01:47,2022-07-04 01:26:48,258931,804,3223,2022-09-19 15:14:31.831442,2022-09-19 15:14:31.912104
269,2022-06-11 16:50:39,2022-06-24 08:49:35,201099,782,2369,2022-09-19 15:14:31.744794,2022-09-19 15:14:31.487394
182,2022-06-10 13:39:26,2022-07-08 09:02:50,184424,597,4951,2022-09-19 15:14:31.722575,2022-09-19 15:14:31.454477
179,2022-04-29 23:17:17,2022-06-25 04:27:21,284893,568,1546,2022-09-19 15:14:31.659274,2022-09-19 15:14:31.767493
92,2022-05-05 14:03:22,2022-05-01 02:20:53,215049,597,4304,2022-09-19 15:14:31.722428,2022-09-19 15:14:31.030031
9,2022-05-27 03:02:54,2022-07-09 14:41:09,293165,626,1362,2022-09-19 15:14:31.518160,2022-09-19 15:14:31.269360
85,2022-06-12 14:15:37,2022-05-16 20:48:18,275648,899,2705,2022-09-19 15:14:31.573833,2022-09-19 15:14:31.759188
299,2022-05-21 06:03:53,2022-05-04 17:28:15,185906,755,4140,2022-09-19 15:14:31.999245,2022-09-19 15:14:31.455378
268,2022-04-14 02:53:52,2022-07-01 10:07:20,298841,782,2704,2022-09-19 15:14:31.440702,2022-09-19 15:14:31.241105
